iter	Passed	Remaining
0	24	6037
1	37	4590
2	50	4152
3	59	3674
4	81	3984
5	95	3894
6	106	3687
7	123	3730
8	134	3611
9	157	3791
10	171	3731
11	178	3545
12	186	3401
13	194	3277
14	204	3199
15	212	3111
16	219	3012
17	231	2986
18	246	2998
19	259	2981
20	270	2953
21	283	2933
22	296	2928
23	312	2943
24	328	2959
25	342	2950
26	350	2894
27	359	2854
28	371	2831
29	385	2829
30	394	2783
31	410	2796
32	418	2749
33	428	2720
34	442	2717
35	449	2672
36	461	2655
37	479	2673
38	485	2628
39	509	2676
40	520	2654
41	547	2712
42	563	2713
43	584	2734
44	608	2773
45	623	2764
46	647	2797
47	666	2806
48	680	2789
49	693	2774
50	715	2791
51	750	2858
52	789	2934
53	819	2973
54	829	2941
55	842	2917
56	854	2893
57	878	2907
58	908	2942
59	931	2951
60	965	2990
61	977	2964
62	986	2927
63	1018	2961
64	1038	2956
65	1052	2935
66	1075	2936
67	1084	2902
68	1095	2874
69	1112	2860
70	1121	2827
71	1151	2846
72	1163	2820
73	1173	2790
74	1184	2764
75	1194	2735
76	1206	2711
77	1223	2697
78	1232	2668
79	1240	2635
80	1248	2604
81	1256	2574
82	1268	2552
83	1276	2521
84	1283	2491
85	1294	2468
86	1302	2440
87	1312	2417
88	1319	2387
89	1328	2361
90	1334	2332
91	1349	2317
92	1363	2301
93	1371	2275
94	1378	2249
95	1386	2223
96	1395	2201
97	1403	2176
98	1410	2151
99	1417	2126
100	1427	2105
101	1435	2082
102	1444	2061
103	1458	2047
104	1473	2035
105	1493	2029
106	1501	2007
107	1507	1982
108	1515	1960
109	1570	1998
110	1592	1993
111	1614	1989
112	1631	1978
113	1670	1992
114	1692	1986
115	1702	1966
116	1712	1946
117	1728	1933
118	1758	1935
119	1767	1915
120	1775	1892
121	1784	1872
122	1794	1853
123	1802	1831
124	1810	1810
125	1822	1794
126	1832	1774
127	1839	1753
128	1852	1737
129	1859	1716
130	1867	1696
131	1876	1677
132	1885	1658
133	1893	1639
134	1900	1618
135	1909	1600
136	1924	1587
137	1932	1568
138	1940	1549
139	1951	1532
140	1959	1514
141	1967	1496
142	1974	1477
143	1987	1462
144	1994	1444
145	2001	1425
146	2009	1407
147	2021	1393
148	2029	1375
149	2037	1358
150	2044	1340
151	2058	1327
152	2071	1313
153	2082	1298
154	2089	1280
155	2098	1264
156	2107	1248
157	2119	1234
158	2128	1218
159	2136	1201
160	2148	1187
161	2157	1171
162	2164	1155
163	2172	1139
164	2182	1124
165	2188	1107
166	2196	1091
167	2205	1076
168	2219	1063
169	2226	1047
170	2234	1032
171	2244	1018
172	2254	1003
173	2261	987
174	2268	972
175	2275	956
176	2283	941
177	2290	926
178	2295	910
179	2302	895
180	2311	881
181	2318	866
182	2326	851
183	2332	836
184	2341	822
185	2351	809
186	2359	794
187	2365	780
188	2376	767
189	2384	753
190	2391	738
191	2399	724
192	2409	711
193	2417	697
194	2425	684
195	2433	670
196	2444	657
197	2450	643
198	2456	629
199	2464	616
200	2471	602
201	2478	589
202	2484	575
203	2490	561
204	2497	548
205	2509	535
206	2515	522
207	2522	509
208	2528	496
209	2534	482
210	2542	469
211	2548	456
212	2554	443
213	2560	430
214	2574	419
215	2579	406
216	2586	393
217	2594	380
218	2606	369
219	2612	356
220	2619	343
221	2626	331
222	2634	318
223	2642	306
224	2650	294
225	2657	282
226	2667	270
227	2676	258
228	2682	246
229	2689	233
230	2695	221
231	2705	209
232	2714	198
233	2718	185
234	2725	173
235	2734	162
236	2741	150
237	2748	138
238	2757	126
239	2770	115
240	2777	103
241	2782	91
242	2789	80
243	2799	68
244	2806	57
245	2813	45
246	2819	34
247	2828	22
248	2837	11
249	2845	0
